episode,steps,reward,epsilon,max_q,avg100,lr
358,471,260.000,0.826373,8.40928,367.700,0.00020397
359,381,180.000,0.826011,8.66080,366.600,0.00020387
360,737,540.000,0.825311,8.67561,368.900,0.00020368
361,445,280.000,0.824888,8.50682,370.200,0.00020357
362,507,330.000,0.824407,8.73102,370.600,0.00020344
363,541,260.000,0.823893,8.82426,368.100,0.00020330
364,585,300.000,0.823337,8.30968,363.400,0.00020315
365,489,330.000,0.822873,8.64122,363.300,0.00020303
366,663,1080.000,0.822243,8.71022,370.500,0.00020286
367,433,270.000,0.821831,8.33273,367.400,0.00020275
368,439,190.000,0.821414,8.92695,367.600,0.00020264
369,431,250.000,0.821005,9.95684,367.000,0.00020253
370,947,660.000,0.820105,8.46679,371.300,0.00020229
371,335,170.000,0.819787,8.54124,369.600,0.00020221
372,455,330.000,0.819355,8.53642,369.800,0.00020209
373,471,230.000,0.818907,8.62487,368.700,0.00020197
374,455,190.000,0.818475,8.47418,369.000,0.00020186
375,521,260.000,0.817980,9.22872,368.500,0.00020173
376,413,280.000,0.817588,8.26405,367.100,0.00020162
377,463,250.000,0.817148,8.21840,366.600,0.00020151
378,601,260.000,0.816577,9.69368,366.200,0.00020135
379,509,380.000,0.816093,10.11647,367.100,0.00020123
380,481,340.000,0.815636,9.09614,367.500,0.00020110
381,491,290.000,0.815170,8.87122,367.600,0.00020098
382,641,610.000,0.814561,8.97437,371.200,0.00020082
383,497,340.000,0.814089,8.37108,372.900,0.00020070
384,501,360.000,0.813613,9.36709,374.300,0.00020057
385,465,300.000,0.813171,9.41590,374.200,0.00020045
386,451,280.000,0.812743,8.81018,373.800,0.00020034
387,763,1150.000,0.812018,8.70844,382.500,0.00020015
388,501,300.000,0.811542,9.44706,381.600,0.00020002
389,401,250.000,0.811161,8.93461,380.600,0.00019992
390,515,330.000,0.810672,9.30195,380.200,0.00019980
391,577,690.000,0.810123,8.42834,384.400,0.00019965
392,407,220.000,0.809737,9.04887,383.300,0.00019955
393,501,320.000,0.809261,8.90840,382.400,0.00019943
394,799,1330.000,0.808502,9.33378,392.900,0.00019923
395,545,310.000,0.807984,9.57011,389.300,0.00019909
396,497,330.000,0.807512,9.05271,389.100,0.00019897
397,423,270.000,0.807110,9.06500,388.900,0.00019886
398,495,330.000,0.806640,9.12658,389.200,0.00019874
399,503,340.000,0.806162,9.47184,389.700,0.00019861
400,493,350.000,0.805694,9.08173,389.900,0.00019849
401,731,560.000,0.804999,9.41709,392.200,0.00019831
402,475,270.000,0.804548,8.76458,392.200,0.00019819
403,437,270.000,0.804133,8.75365,391.900,0.00019808
404,459,310.000,0.803697,10.38946,391.900,0.00019797
405,871,520.000,0.802869,9.35735,394.500,0.00019776
406,507,270.000,0.802388,8.77734,394.900,0.00019763
407,1225,930.000,0.801224,8.38348,399.100,0.00019733
408,699,300.000,0.800560,8.81078,398.100,0.00019716
409,885,1310.000,0.799719,9.85301,408.800,0.00019694
410,623,360.000,0.799127,9.19019,409.600,0.00019678
411,553,400.000,0.798602,9.30834,411.000,0.00019665
412,435,250.000,0.798189,9.35372,411.500,0.00019654
413,475,240.000,0.797737,9.66709,410.600,0.00019642
414,537,300.000,0.797227,9.00867,410.800,0.00019629
415,471,310.000,0.796780,9.64239,405.600,0.00019618
416,505,250.000,0.796300,9.35929,404.800,0.00019605
417,451,240.000,0.795872,9.61651,404.900,0.00019594
418,415,280.000,0.795477,10.44570,404.800,0.00019584
419,815,480.000,0.794703,9.37298,406.900,0.00019564
420,585,280.000,0.794147,10.60625,407.000,0.00019550
421,569,340.000,0.793607,9.45874,408.200,0.00019536
422,575,420.000,0.793061,9.44576,408.800,0.00019522
423,487,330.000,0.792598,9.11023,409.200,0.00019510
424,427,260.000,0.792192,9.75285,409.100,0.00019500
425,611,450.000,0.791612,9.45488,411.200,0.00019485
426,509,350.000,0.791128,9.45184,411.800,0.00019472
427,501,300.000,0.790652,9.79287,412.000,0.00019460
428,393,200.000,0.790279,10.02605,405.200,0.00019451
429,523,370.000,0.789782,10.05935,405.800,0.00019438
430,435,270.000,0.789369,9.80544,404.800,0.00019427
431,467,330.000,0.788925,11.89861,396.900,0.00019416
432,463,250.000,0.788485,9.79844,397.300,0.00019405
433,493,220.000,0.788017,9.96311,398.000,0.00019393
434,521,280.000,0.787522,9.10191,394.800,0.00019380
435,509,270.000,0.787038,9.65271,394.000,0.00019368
436,897,740.000,0.786186,10.22161,394.500,0.00019346
437,651,450.000,0.785568,9.34251,395.900,0.00019330
438,581,250.000,0.785016,9.56924,396.900,0.00019316
439,661,680.000,0.784388,9.55303,397.800,0.00019300
440,459,280.000,0.783952,9.50368,397.600,0.00019289
441,309,130.000,0.783658,9.73770,396.200,0.00019282
442,431,290.000,0.783249,9.78583,397.200,0.00019271
443,661,470.000,0.782621,9.20000,395.900,0.00019256
444,599,410.000,0.782052,9.34429,395.600,0.00019241
445,487,290.000,0.781589,9.19399,395.200,0.00019229
446,527,260.000,0.781089,10.10273,394.000,0.00019217
447,657,440.000,0.780465,9.74851,396.800,0.00019201
448,451,320.000,0.780036,9.88128,396.200,0.00019190
449,411,300.000,0.779646,9.44341,375.700,0.00019180
450,495,270.000,0.779175,10.03223,374.800,0.00019168
451,489,400.000,0.778711,10.26209,375.900,0.00019157
452,659,700.000,0.778085,10.26989,379.500,0.00019141
453,603,390.000,0.777512,10.23448,376.300,0.00019127
454,471,300.000,0.777064,9.91000,376.200,0.00019115
455,513,240.000,0.776577,10.08211,371.900,0.00019103
456,557,350.000,0.776048,9.76152,372.800,0.00019090
457,507,270.000,0.775566,9.81015,373.200,0.00019078
458,467,270.000,0.775123,9.96681,373.300,0.00019067
459,555,340.000,0.774595,10.14990,374.900,0.00019053
460,525,400.000,0.774097,10.24969,373.500,0.00019041
461,433,230.000,0.773685,10.27380,373.000,0.00019031
462,513,250.000,0.773198,9.70387,372.200,0.00019018
463,727,690.000,0.772507,10.91909,376.500,0.00019001
464,519,280.000,0.772014,10.16491,376.300,0.00018989
465,749,1470.000,0.771303,10.02682,387.700,0.00018971
466,507,340.000,0.770821,10.86301,380.300,0.00018959
467,465,310.000,0.770379,10.06723,380.700,0.00018948
468,897,1950.000,0.769527,10.72841,398.300,0.00018927
469,703,710.000,0.768859,10.04736,402.900,0.00018910
470,481,280.000,0.768402,10.61563,399.100,0.00018899
471,735,660.000,0.767704,10.78858,404.000,0.00018881
472,427,280.000,0.767298,10.38846,403.500,0.00018871
473,613,370.000,0.766716,10.70054,404.900,0.00018857
474,653,670.000,0.766096,10.61436,409.700,0.00018841
475,497,300.000,0.765624,10.72070,410.100,0.00018830
476,507,300.000,0.765142,10.41981,410.300,0.00018818
477,489,160.000,0.764677,10.86156,409.400,0.00018806
478,437,210.000,0.764262,10.37674,408.900,0.00018796
479,539,330.000,0.763750,10.30541,408.400,0.00018783
480,417,250.000,0.763354,10.25126,407.500,0.00018774
481,545,350.000,0.762836,10.43293,408.100,0.00018761
482,499,320.000,0.762362,10.39516,405.200,0.00018749
483,525,310.000,0.761864,10.91168,404.900,0.00018737
484,477,210.000,0.761410,11.00278,403.400,0.00018726
485,529,330.000,0.760908,10.45450,403.700,0.00018713
486,493,410.000,0.760439,10.95065,405.000,0.00018702
487,649,410.000,0.759823,10.72158,397.600,0.00018687
488,635,530.000,0.759220,10.51573,399.900,0.00018672
489,411,220.000,0.758829,10.96729,399.600,0.00018662
490,469,320.000,0.758384,10.66592,399.500,0.00018651
491,467,370.000,0.757940,10.26483,396.300,0.00018640
492,363,230.000,0.757595,10.60142,396.400,0.00018632
493,517,330.000,0.757104,10.93324,396.500,0.00018620
494,531,380.000,0.756600,10.93980,387.000,0.00018607
495,501,410.000,0.756124,10.44686,388.000,0.00018596
